Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,GEOID,latitude,longitude
42049012202,Erie County,Pennsylvania,PA,2.623,-1.128,Urban,6438,21.5,77826.0,42049012202,41.874979,-80.1242456
48453001729,Travis County,Texas,TX,2.619,-1.024,Urban,4607,9.1,62727.0,48453001729,30.2027508,-97.8293774
21067001800,Fayette County,Kentucky,KY,2.615,-0.779,Urban,2623,62.8,24464.0,21067001800,38.0331196,-84.5153015
15003011400,Honolulu County,Hawaii,HI,2.613,-1.765,Urban,5372,13.0,59844.0,15003011400,21.3807393,-157.9764668
55063000500,La Crosse County,Wisconsin,WI,2.604,-1.32,Urban,4773,66.9,52857.0,55063000500,43.8229516,-91.22904
45079011701,Richland County,South Carolina,SC,2.603,-0.909,Urban,5137,64.1,32692.0,45079011701,33.9462907,-81.0037285
6037980015,Los Angeles County,California,CA,2.599,-1.526,Urban,554,20.0,38359.0,06037980015,33.7732472,-118.2888391
15003009000,Honolulu County,Hawaii,HI,2.594,-1.754,Urban,1634,8.0,65609.0,15003009000,21.4734603,-158.0346205
28035001000,Forrest County,Mississippi,MS,2.588,-0.543,Urban,4344,47.3,41875.0,28035001000,31.3419203,-89.3413749
17109010500,McDonough County,Illinois,IL,2.579,-1.181,Urban,2734,91.8,,17109010500,40.4714232,-90.6845498
41005980000,Clackamas County,Oregon,OR,2.577,-1.092,Rural,297,42.7,,41005980000,45.0641988,-121.9884098
49049001602,Utah County,Utah,UT,2.576,-1.717,Urban,3729,75.9,23333.0,49049001602,40.2507986,-111.6501809
45077011205,Pickens County,South Carolina,SC,2.574,-0.892,Urban,3569,66.7,113833.0,45077011205,34.6834674,-82.834566
4013111204,Maricopa County,Arizona,AZ,2.574,-1.311,Urban,2154,11.6,52500.0,04013111204,33.4585599,-111.9550359
26073000800,Isabella County,Michigan,MI,2.571,-0.972,Urban,2919,68.0,,26073000800,43.5635835,-84.7693625
18157005300,Tippecanoe County,Indiana,IN,2.569,-0.873,Urban,2992,60.4,63750.0,18157005300,40.4321604,-86.9045116
22105954200,Tangipahoa Parish,Louisiana,LA,2.563,-0.659,Urban,4729,24.8,67750.0,22105954200,30.5102022,-90.4731526
13121002800,Fulton County,Georgia,GA,2.563,-1.029,Urban,3547,32.2,22179.0,13121002800,33.758087,-84.379399
21047201302,Christian County,Kentucky,KY,2.546,-0.745,Urban,7507,23.4,47500.0,21047201302,36.6655085,-87.4146688
39093060200,Lorain County,Ohio,OH,2.543,-0.644,Urban,5151,20.0,86875.0,39093060200,41.285269,-82.2321055
30063000500,Missoula County,Montana,MT,2.539,-1.359,Urban,7416,36.2,70129.0,30063000500,46.8556344,-113.9900423
53075000600,Whitman County,Washington,WA,2.532,-1.548,Urban,7383,51.2,30781.0,53075000600,46.7708687,-117.0997509
6019005408,Fresno County,California,CA,2.526,-1.489,Urban,1276,81.8,,06019005408,36.8188106,-119.74232
51710002600,Norfolk city,Virginia,VA,2.51,-1.032,Urban,3835,60.8,48542.0,51710002600,36.8860879,-76.2966307
51750010101,Radford city,Virginia,VA,2.506,-1.014,Urban,4148,61.7,56774.0,51750010101,37.1241315,-80.5468209
26065003802,Ingham County,Michigan,MI,2.505,-0.936,Urban,4372,34.2,73214.0,26065003802,42.7608872,-84.4941487
9003503800,Hartford County,Connecticut,CT,2.502,-1.349,Urban,3508,40.4,18250.0,09003503800,41.7965907,-72.7106703
29147470300,Nodaway County,Missouri,MO,2.497,-0.864,Urban,8415,30.9,68045.0,29147470300,40.3429477,-94.8841216
48439106518,Tarrant County,Texas,TX,2.492,-0.953,Urban,3115,9.9,58385.0,48439106518,32.8230909,-97.0462956
48439113518,Tarrant County,Texas,TX,2.485,-0.949,Urban,5258,11.3,56086.0,48439113518,32.8573209,-97.0688401
5045030800,Faulkner County,Arkansas,AR,2.479,-0.641,Urban,5494,25.4,68125.0,05045030800,35.0825284,-92.469026
26161412600,Washtenaw County,Michigan,MI,2.478,-0.882,Urban,2523,5.8,54958.0,26161412600,42.2177788,-83.5690668
34023006002,Middlesex County,New Jersey,NJ,2.476,-1.298,Urban,5496,24.5,54570.0,34023006002,40.4836226,-74.4296756
1125012600,Tuscaloosa County,Alabama,AL,2.472,-0.463,Urban,2876,45.5,,01125012600,33.2186194,-87.5176867
20061000600,Geary County,Kansas,KS,2.469,-0.949,Urban,5838,15.6,42885.0,20061000600,39.0685603,-96.8021372
46011958900,Brookings County,South Dakota,SD,2.466,-1.171,Urban,7389,30.2,90020.0,46011958900,44.3333409,-96.7736111
53029970900,Island County,Washington,WA,2.464,-1.526,Urban,4801,10.4,46659.0,53029970900,48.2976251,-122.5727329
21067000900,Fayette County,Kentucky,KY,2.464,-0.689,Urban,4420,65.0,40653.0,21067000900,38.0438658,-84.5134565
22033004015,East Baton Rouge Parish,Louisiana,LA,2.458,-0.624,Urban,8474,21.6,51756.0,22033004015,30.3522083,-91.1238112
29510117100,St. Louis city,Missouri,MO,2.456,-0.699,Urban,1537,20.5,53500.0,29510117100,38.6146101,-90.2620141
39035104200,Cuyahoga County,Ohio,OH,2.454,-0.613,Urban,1143,34.7,35446.0,39035104200,41.4852632,-81.687549
24003740602,Anne Arundel County,Maryland,MD,2.451,-1.129,Urban,3959,10.5,67331.0,24003740602,39.1185788,-76.7352949
