TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID
42003453004,PA,-0.663555,-0.567706,0.950562,42003453004
17031050300,IL,-1.114946,-0.927653,1.553254,17031050300
21191930100,KY,0.167543,-0.468926,0.785165,21191930100
48215020724,TX,0.019106,0.086992,-0.145659,48215020724
34017007400,NJ,-1.876656,-1.538232,2.575603,34017007400
34021001500,NJ,1.107177,1.444036,-2.417882,34021001500
53067012310,WA,-0.405855,0.150259,-0.251592,53067012310
06001423700,CA,-1.109454,-0.605439,1.013742,06001423700
31109001002,NE,-0.754972,-0.579114,0.969664,31109001002
36061020500,NY,-1.694706,-1.438280,2.408244,36061020500
41047002800,OR,0.189368,0.242896,-0.406702,41047002800
41051006900,OR,-0.753192,-0.379871,0.636052,41051006900
55105000900,WI,-0.309746,-0.045527,0.076231,55105000900
37119005200,NC,1.548052,1.578180,-2.642491,37119005200
39039958300,OH,0.299574,-0.038889,0.065116,39039958300
48463950200,TX,0.729250,-0.136325,0.228261,48463950200
06037211410,CA,-0.614431,-0.124207,0.207972,06037211410
17119403603,IL,-0.141796,0.011347,-0.018999,17119403603
26125154600,MI,-0.739232,-0.806886,1.351044,26125154600
51153901012,VA,0.295756,0.560176,-0.937955,51153901012
55133203102,WI,-0.256740,-0.003169,0.005306,55133203102
17031062100,IL,-1.712716,-1.525409,2.554132,17031062100
31019969700,NE,-0.191480,0.018667,-0.031256,31019969700
37155961801,NC,1.570230,1.264861,-2.117873,37155961801
39091004300,OH,0.425709,-0.253796,0.424954,39091004300
48321730303,TX,0.796804,0.502004,-0.840552,48321730303
48141002201,TX,1.005200,1.101564,-1.844450,48141002201
06107001800,CA,-0.116065,0.347183,-0.581321,06107001800
17201001500,IL,0.155237,0.276938,-0.463703,17201001500
22033003504,LA,1.514635,0.670563,-1.122786,22033003504
31055007444,NE,-1.184194,-0.987435,1.653353,31055007444
42101009400,PA,1.612611,1.670668,-2.797353,42101009400
05137950100,AR,0.946564,0.266182,-0.445693,05137950100
06037221602,CA,0.049522,0.539699,-0.903667,06037221602
36029005900,NY,0.934677,1.203750,-2.015549,36029005900
46011958700,SD,-0.243065,-0.349859,0.585801,46011958700
17179021606,IL,-0.055005,0.075215,-0.125939,17179021606
28087000404,MS,0.138601,-0.368042,0.616246,28087000404
36047029600,NY,-0.572579,-0.310479,0.519864,36047029600
55133201201,WI,-0.373064,-0.119129,0.199468,55133201201
32003003305,NV,-0.207367,-0.013403,0.022441,32003003305
51059422000,VA,-0.316626,-0.015630,0.026171,51059422000
13089023603,GA,1.177971,1.204208,-2.016317,13089023603
13295020400,GA,-0.152741,-0.527662,0.883513,13295020400
35017964400,NM,0.682757,0.335852,-0.562348,35017964400
37063001705,NC,0.025064,0.077000,-0.128929,37063001705
21077960101,KY,0.449857,-0.142557,0.238696,21077960101
29189213300,MO,0.268642,0.141403,-0.236765,29189213300
06037229100,CA,-0.171924,0.318271,-0.532910,06037229100
06097152701,CA,-0.265456,-0.119814,0.200615,06097152701
26163581500,MI,0.085780,0.003321,-0.005561,26163581500
36061007500,NY,-1.464796,-1.208021,2.022701,36061007500
37179020317,NC,-0.712612,-0.705297,1.180943,37179020317
45021970700,SC,0.670899,0.241746,-0.404777,45021970700
34013017200,NJ,-0.026758,0.313273,-0.524542,34013017200
06073019302,CA,-0.728025,-0.251680,0.421412,06073019302
17201000514,IL,0.137617,0.259149,-0.433918,17201000514
22089062700,LA,0.848321,0.177404,-0.297044,22089062700
36061021500,NY,-0.233294,0.023481,-0.039317,36061021500
36061014500,NY,-1.474965,-1.218190,2.039728,36061014500
13271950200,GA,1.125865,0.759942,-1.272441,13271950200
29077002700,MO,0.653416,0.569495,-0.953558,29077002700
25009221800,MA,-0.129957,0.424009,-0.709957,25009221800
21111011708,KY,-0.197117,-0.480917,0.805243,21111011708
37119001917,NC,0.308153,0.338624,-0.566990,37119001917
18105000302,IN,-0.929586,-1.054594,1.765804,18105000302
32003002965,NV,1.272719,1.466574,-2.455621,32003002965
55025011800,WI,-0.380813,-0.084901,0.142157,55025011800
06115040800,CA,-0.524784,-0.386071,0.646434,06115040800
06037541605,CA,-0.034517,0.455539,-0.762751,06037541605
09003511300,CT,0.109669,-0.035914,0.060134,09003511300
27003050707,MN,-0.519062,-0.041395,0.069311,27003050707
27109001602,MN,-0.497418,-0.060804,0.101810,27109001602
36061020701,NY,-1.662085,-1.405590,2.353509,36061020701
55055100800,WI,-0.159128,-0.197009,0.329870,55055100800
34023002805,NJ,-0.256821,0.079389,-0.132928,34023002805
37067003803,NC,-0.080920,-0.030296,0.050727,37067003803
48439122002,TX,0.501873,0.483142,-0.808969,48439122002
21035010500,KY,0.239180,-0.336811,0.563953,21035010500
24510270901,MD,0.317837,0.303435,-0.508069,24510270901
29189214100,MO,1.425461,1.298306,-2.173873,29189214100
42011011702,PA,-0.127839,-0.034876,0.058395,42011011702
48201421700,TX,0.073257,0.146279,-0.244929,48201421700
01081040902,AL,-0.662670,-1.659148,2.778064,01081040902
13067030700,GA,0.219053,-0.262386,0.439336,13067030700
17031720100,IL,-0.452145,-0.265068,0.443828,17031720100
55139000300,WI,-0.053889,0.197877,-0.331323,55139000300
01125012600,AL,-0.463033,-1.476488,2.472221,01125012600
01055011002,AL,0.470824,-0.320840,0.537212,01055011002
06059099510,CA,1.350035,1.315583,-2.202803,06059099510
31089974000,NE,0.390104,0.252144,-0.422188,31089974000
36055014905,NY,-0.730447,-0.471665,0.789752,36055014905
10001043400,DE,0.636997,0.312877,-0.523879,10001043400
10005050705,DE,1.048489,0.528013,-0.884100,10005050705
48113019023,TX,-0.488224,-0.380830,0.637659,48113019023
08013013701,CO,-1.016881,-0.455127,0.762062,08013013701
26005030704,MI,0.039864,-0.302537,0.506565,26005030704
27019090800,MN,-0.765595,-0.294082,0.492409,27019090800
37101040301,NC,1.284175,1.000084,-1.674533,37101040301
46039953600,SD,0.315402,0.197778,-0.331158,46039953600
48409010202,TX,0.841515,0.834367,-1.397057,48409010202
55097960500,WI,-0.316092,-0.370208,0.619873,55097960500
01097006200,AL,0.451566,-0.356324,0.596627,01097006200
06039000700,CA,-0.228301,0.261199,-0.437350,06039000700
39041011411,OH,-0.033341,-0.372033,0.622928,39041011411
45077010200,SC,0.134424,-0.315866,0.528883,45077010200
